payload,label,source_dataset,source_label,source_binary_label,length,split_hint,is_external,is_wordlist,use_for_training
zarratn,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
6341227779092516,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
er3t3e1,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
atanaspulos,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
38355013y,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"plaa catalunya 124, 5-b",Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
19312,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
1437589782727245,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
cuatriduana,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
1565,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
ti7o,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
folch pintado,Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
00474767r,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
manuel pereira s/n 12?a,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
esther,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
labranto,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
pelez bastus,Normal,HttpParamsDataset,norm,norm,12,train,True,False,True
pianka@noviasteresapalacios.mc,Normal,HttpParamsDataset,norm,norm,30,train,True,False,True
"c/ doctor ferran, 193",Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
38787,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
fitzgera,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
13g0e7at42a,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
kinnie,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
ret4ne3or,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
vettenranta@infopromo.az,Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
"el caaveral 130, 5-f",Normal,HttpParamsDataset,norm,norm,20,train,True,False,True
9139561296743472,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
valina,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
yoselie,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
pool echenique,Normal,HttpParamsDataset,norm,norm,14,train,True,False,True
"calle holanda 146,",Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
"tres villas, las",Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
5426744631176158,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
patrica0,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
mankowsk,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
4a39c44a,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
bow@whitepearlresort.pl,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
01472954b,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
adradas,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
18417,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
smelters,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
tamboreo,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
lamas,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
sipperly.nakamoto@ceramicasmio.ht,Normal,HttpParamsDataset,norm,norm,33,train,True,False,True
carretera 200 hasta km. 1 barra de mio 175,Normal,HttpParamsDataset,norm,norm,42,train,True,False,True
manzanilla,Normal,HttpParamsDataset,norm,norm,10,train,True,False,True
1181707541494323,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
jalaie,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
1613,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
joelly,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
flaviano,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
oshea_knowles@tiaherminia.gh,Normal,HttpParamsDataset,norm,norm,28,train,True,False,True
"calle del llenguadoc s/n, 6e",Normal,HttpParamsDataset,norm,norm,28,train,True,False,True
pujalt,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
0269447503610316,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
kristel,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
reiji,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
estolano boget,Normal,HttpParamsDataset,norm,norm,14,train,True,False,True
62145911a,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"travesia barrionuevo, 49",Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
7738690201675696,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
daisey,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
2925,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
doris,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
bergad faix,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
sibirskaia@euskalcasino.es,Normal,HttpParamsDataset,norm,norm,26,train,True,False,True
"c/ lope de rueda s/n, 9-f",Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
alcntar,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
lozier,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
alguese,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
30482828p,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"c/ ulises 17,",Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
rube,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
enlutada,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
blount,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
sugesto,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
suau,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
germain@elcorteitaliano.cat,Normal,HttpParamsDataset,norm,norm,27,train,True,False,True
"c/ de la sabina, s/n 8?b",Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
betelu,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
mcglynn,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
midkiff_mikuni@directoriogratuito.kh,Normal,HttpParamsDataset,norm,norm,36,train,True,False,True
"calle rascafria, 103,",Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
gimialcn,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
3582197540300309,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
sprouse,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
1827,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
addons,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
karla,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
jauregui cortines,Normal,HttpParamsDataset,norm,norm,17,train,True,False,True
86800649y,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"paratge lila 30, 10?c",Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
9091453994786923,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
dyck,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
pereda barrio,Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
barrymore@hipermadrid.pe,Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
"doctor waksmann, 120, 7?b",Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
caudete,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
3161746053397457,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
chao,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
4403,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
patacki,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
xifr,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
pleasande@doloresmusculares.aq,Normal,HttpParamsDataset,norm,norm,30,train,True,False,True
"sanchez 49,",Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
9008082484622624,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
o+bispar,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
adgardo,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
36914497a,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"nucleo santiago apostol 34, 4?f",Normal,HttpParamsDataset,norm,norm,31,train,True,False,True
20491,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
4811716935763521,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
inord2n6da7e401,Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
5445,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
a65esad0,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
efrn,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
calle castaos 90,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
torre-cardela,Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
4867284155125635,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
oran,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
tesisteco avi,Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
pepet@naturalchild.co,Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
01308,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
6702564951251728,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
remante,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
919,Normal,HttpParamsDataset,norm,norm,3,train,True,False,True
afoscarse,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
net.valdez@salaparis.gt,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
"c/ja del indiano, s/n,",Normal,HttpParamsDataset,norm,norm,22,train,True,False,True
illano,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
2872946473881757,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
spears,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
triana,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
del ngel kercad,Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
10421521z,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"etorbidea askatasuna 170, 8?a",Normal,HttpParamsDataset,norm,norm,29,train,True,False,True
2754013363983769,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
huong,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
1729,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
tse,Normal,HttpParamsDataset,norm,norm,3,train,True,False,True
victoria de los angeles,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
ventura motn,Normal,HttpParamsDataset,norm,norm,12,train,True,False,True
"roure, 43, 3?d",Normal,HttpParamsDataset,norm,norm,14,train,True,False,True
32648,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
meggy,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
3o22ciabl3,Normal,HttpParamsDataset,norm,norm,10,train,True,False,True
ayat rozas,Normal,HttpParamsDataset,norm,norm,10,train,True,False,True
verani@viajesdacapalla.gq,Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
"quinita flores 75,",Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
botarell,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
3893864101962581,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
etchieso,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
9159,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
marieann,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
penarroya ingla,Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
gayle@freetag.name,Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
"el halcon 154, 8?f",Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
03314,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
evin,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
sa6r2,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
gorcy.davis@carmensanmartin.bo,Normal,HttpParamsDataset,norm,norm,30,train,True,False,True
16601924h,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
destriana,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
25307,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
9639,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
longo,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
armero filippi,Normal,HttpParamsDataset,norm,norm,14,train,True,False,True
uzaki@23horas.ie,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
24391,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
lei-see,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
rahue,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
serna kovac,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
51795949h,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"calle del derecho 17,",Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
50693,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
9473535060757439,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
7a2a6t1ro,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
1858,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
pavorde,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
elois,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
terrio@likeanangel.dz,Normal,HttpParamsDataset,norm,norm,21,train,True,False,True
46773841y,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
arndiga,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
8554607392278464,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
muntaner nevado,Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
vasilescu.lisi@drogasvirtuales.sc,Normal,HttpParamsDataset,norm,norm,33,train,True,False,True
"luis braille, 33, 12?d",Normal,HttpParamsDataset,norm,norm,22,train,True,False,True
matar,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
4608056297024601,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
werling,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
7012,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
barnhill,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
quintilio,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
naharro,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
38980059g,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"calle isis, 180",Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
6172398321911966,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
janeva,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
lzaro,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
hinwood-laretei@addl.es,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
canfranc,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
26323,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
radioelctrica,Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
3679,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
apotrerar,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
mochn quer,Normal,HttpParamsDataset,norm,norm,10,train,True,False,True
30503437d,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"carrer asturies, 49",Normal,HttpParamsDataset,norm,norm,19,train,True,False,True
8582534834926521,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
aghili,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
colunga corrius,Normal,HttpParamsDataset,norm,norm,15,train,True,False,True
bukoontot@google-movil.cm,Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
c/ asuncion 115 5e,Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
almonacid de la sierra,Normal,HttpParamsDataset,norm,norm,22,train,True,False,True
rorke,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
3u23pe,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
philippa,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
carroar,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
schwab.carli@emepleo.info,Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
"calle batalla de muhlberg, 25, 6?a",Normal,HttpParamsDataset,norm,norm,34,train,True,False,True
27860,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
brenda,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
alpar-ornstein@rockefeller.nu,Normal,HttpParamsDataset,norm,norm,29,train,True,False,True
15423399j,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
46844,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
gourley,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
consalve,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
c406l2n5,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
kunneke@storagecraft.nz,Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
89740217j,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
igzquiza,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
17867,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
zandra,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
agenor,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
chamberlain@muevemiweb.al,Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
calle jaime ferranz 51,Normal,HttpParamsDataset,norm,norm,22,train,True,False,True
12163,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",SQL_Injection,HttpParamsDataset,sqli,anom,115,train,True,False,True
"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666",SQL_Injection,HttpParamsDataset,sqli,anom,111,train,True,False,True
1) where 7956=7956 or sleep(5)#,SQL_Injection,HttpParamsDataset,sqli,anom,31,train,True,False,True
-7387'))) order by 1--,SQL_Injection,HttpParamsDataset,sqli,anom,22,train,True,False,True
"1))) union all select null,null,null#",SQL_Injection,HttpParamsDataset,sqli,anom,37,train,True,False,True
"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--",SQL_Injection,HttpParamsDataset,sqli,anom,66,train,True,False,True
"-9860%"" union all select 6996,6996,6996,6996,6996,6996#",SQL_Injection,HttpParamsDataset,sqli,anom,55,train,True,False,True
"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240",SQL_Injection,HttpParamsDataset,sqli,anom,101,train,True,False,True
"1%""))) waitfor delay '0:0:5'--",SQL_Injection,HttpParamsDataset,sqli,anom,30,train,True,False,True
"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#",SQL_Injection,HttpParamsDataset,sqli,anom,56,train,True,False,True
"1%"");select benchmark(5000000,md5(0x714e4153))#",SQL_Injection,HttpParamsDataset,sqli,anom,47,train,True,False,True
"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",SQL_Injection,HttpParamsDataset,sqli,anom,103,train,True,False,True
"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--",SQL_Injection,HttpParamsDataset,sqli,anom,57,train,True,False,True
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi",SQL_Injection,HttpParamsDataset,sqli,anom,124,train,True,False,True
"-2583"") where 3455=3455 or make_set(9354=9354,7185)--",SQL_Injection,HttpParamsDataset,sqli,anom,53,train,True,False,True
"-6267""))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""rqws""=""rqws",SQL_Injection,HttpParamsDataset,sqli,anom,209,train,True,False,True
"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",SQL_Injection,HttpParamsDataset,sqli,anom,69,train,True,False,True
8496429893525706,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
t324a3ra5a,Normal,HttpParamsDataset,norm,norm,10,train,True,False,True
4932,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
di0cut6dor7,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
jener monaj,Normal,HttpParamsDataset,norm,norm,11,train,True,False,True
los polancos 133,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
"pintanos, los",Normal,HttpParamsDataset,norm,norm,13,train,True,False,True
berrisfo,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
zaguero,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
39202408n,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"c/ montaer ruiz, 24, 12a",Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
3609841962548925,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
isador,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
4906,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
marcanti,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
jezabel,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
pawluszek segu,Normal,HttpParamsDataset,norm,norm,14,train,True,False,True
05782219l,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"c/ ricardo codoer, 112,",Normal,HttpParamsDataset,norm,norm,23,train,True,False,True
brunhild,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
te3496,Normal,HttpParamsDataset,norm,norm,6,train,True,False,True
allaert@chicasdiabolo.ru,Normal,HttpParamsDataset,norm,norm,24,train,True,False,True
63974696n,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
fla,Normal,HttpParamsDataset,norm,norm,3,train,True,False,True
50629,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
demostrar,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
6212,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
refriega,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
isidoro,Normal,HttpParamsDataset,norm,norm,7,train,True,False,True
06918701w,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"calle la caldera, 76 11-c",Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
4898771590601702,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
lap,Normal,HttpParamsDataset,norm,norm,3,train,True,False,True
42287106l,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"calle beato tomas de zumarraga, 89 12-c",Normal,HttpParamsDataset,norm,norm,39,train,True,False,True
olsen,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
5urgui8a,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
spindler1,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
trincha-32r1,Normal,HttpParamsDataset,norm,norm,12,train,True,False,True
08363269d,Normal,HttpParamsDataset,norm,norm,9,train,True,False,True
"alqueria de pixarroda, 27",Normal,HttpParamsDataset,norm,norm,25,train,True,False,True
0277189059505279,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
dotan,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
terribas,Normal,HttpParamsDataset,norm,norm,8,train,True,False,True
leftwich@sms24h.sb,Normal,HttpParamsDataset,norm,norm,18,train,True,False,True
12232,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
5580428033394873,Normal,HttpParamsDataset,norm,norm,16,train,True,False,True
comba,Normal,HttpParamsDataset,norm,norm,5,train,True,False,True
1140,Normal,HttpParamsDataset,norm,norm,4,train,True,False,True
